State,District,Latitude,Longitude,District code,Population,Male,Female,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Ownership_Owned_Households,Ownership_Rented_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,sex_ratio,literacy_rate,Male_literacy_rate,Female_literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,484912,84661,2399901,275970,15422,1377,25510,617,322,566108,5512,232470,344167,281752,225957,143143,100226,19277,1536378,704551,422522,559211,77594,503266,58377,6455,7297,722,120,100.0,54.0,63.0,46.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,879537,105343,3599372,443456,20463,932,341,1417,309,897970,8606,462273,720357,582075,331793,162175,144915,23341,2189396,1104565,739612,779195,172680,718794,115052,15584,17947,1994,369,98.0,57.0,65.0,48.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,748093,57269,3737588,397870,24129,867,253,1322,358,944555,13763,522961,770836,673197,548336,265199,246409,36017,2148179,1159053,807430,815953,196720,757090,105579,10901,12183,1103,179,100.0,64.0,71.0,57.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,1122046,57853,4983330,77777,77825,738,413,4149,403,1297273,22411,669420,947606,797497,521562,271809,263023,47702,2724328,1478954,948122,1088823,278383,1085890,85895,6477,7007,450,80,101.0,64.0,67.0,61.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,1227956,47436,4217597,559770,89763,764,323,3282,332,1186028,19383,736270,845810,674957,453446,246580,221924,30279,2583462,1371811,928462,981115,276073,972992,117838,10388,11313,821,104,100.0,61.0,67.0,54.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,23029,46157,2046051,1713405,87522,11446,1268,19560,1929,869721,149034,230962,596591,685215,811501,517425,558090,45937,2249130,1068243,542669,437146,422826,692697,73154,16242,20914,3555,1117,95.0,73.0,76.0,70.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,756859,168340,3491139,244723,24979,2086,332,312,115,926768,8831,340372,453505,482842,463403,293493,256633,35312,1940234,1031735,728494,823820,141432,746836,91081,8368,9357,860,129,101.0,58.0,67.0,50.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,804537,19799,2595321,158887,33463,655,217,459,539,668519,8628,295639,346118,329630,238811,154774,160804,25456,1530602,774583,477955,616617,115379,575647,55189,4220,4616,346,50,101.0,58.0,65.0,52.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,1006976,48444,4023678,307043,145598,1393,863,6320,906,1163932,30438,618101,692968,630603,531821,312753,328454,54728,2340943,1284630,833959,863382,328243,955030,81787,6370,6886,449,67,99.0,67.0,71.0,63.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,1037302,60791,3328380,670737,33165,737,255,2235,434,816721,10081,521327,672951,466940,271828,152453,115504,19282,2368684,1053618,609027,710444,156505,652567,109416,18819,22549,3071,659,99.0,52.0,61.0,44.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,931084,57846,3673456,334172,21345,658,290,388,267,757821,6153,419379,596134,441585,308575,169083,98227,16121,2360874,1027525,637430,800743,66068,632870,116194,19694,23895,3474,727,98.0,48.0,56.0,39.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,571129,67642,2637313,342449,34301,1309,554,457,217,604719,8635,324267,503713,481984,373729,201928,127493,16466,1735769,779738,509368,570933,90125,482906,92770,14040,16643,2160,443,99.0,54.0,63.0,45.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,863131,45124,3249231,188646,35025,937,241,250,132,789225,7715,369537,518669,471233,367424,238695,196134,27003,1932349,897137,651748,760789,103172,655150,89307,8970,10032,935,127,98.0,57.0,66.0,49.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,448281,171311,2123426,391596,19653,2357,1847,542,146,545913,5261,269487,421399,338668,396396,223365,141850,13382,1399773,676401,437573,490840,93887,432299,68637,8050,9206,988,168,104.0,54.0,63.0,46.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,889218,42603,3150195,220654,18775,266,97,204,206,763746,6151,489805,495556,368919,249034,142026,133627,21976,1832695,917391,641707,717208,127205,643184,89358,10022,11413,1186,205,98.0,56.0,65.0,47.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,700833,34479,2666950,9025,18879,193,77,160,106,615432,3988,291793,348354,319244,251521,146721,121213,21031,1423119,747385,528736,610487,68045,506897,66546,7462,8385,811,112,101.0,55.0,64.0,47.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1161477,1182997,557254,27469,2299129,16423,17853,380,114,815,183,527736,4453,250446,300057,257468,186576,115144,103591,27041,1206366,666394,451469,514227,68076,440182,65254,6261,6993,645,87,102.0,53.0,61.0,45.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,758092,43550,3273755,197333,31377,1453,253,569,126,828077,12952,314252,457529,454322,430242,279234,248942,27663,1891954,941452,664872,761465,117060,676526,90062,8344,9354,879,131,100.0,59.0,67.0,50.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,1061787,33861,3733191,86142,109120,288,209,1578,211,1017568,12050,595331,718960,585595,415178,215863,207586,33329,2051513,1127764,755533,836015,207958,830550,71679,5319,5684,329,36,100.0,67.0,70.0,65.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,76948,71278,4208,496,47683,2134,35969,94,50381,95,11738,14593,170,20425,22537,17354,10032,5641,3633,834,96630,35018,16414,20141,5793,21057,3081,422,483,53,8,93.0,49.0,57.0,41.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,38775,39915,1063,273,12333,652,37136,36,452,23,27868,5318,57,11713,10487,8852,6213,4510,2330,142,53752,17922,6960,12051,2014,11366,1396,217,266,38,11,103.0,49.0,56.0,42.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,50116,49098,3565,493,27854,2289,18254,69,776,30,49393,14231,450,9938,13713,13968,10937,9498,6540,525,61993,25334,11802,11640,5518,13537,2123,358,446,62,26,98.0,63.0,68.0,58.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,45318,46758,2947,833,4859,471,51189,43,121,81,34158,3911,95,12661,15054,12264,6997,4353,2031,299,64379,20713,6836,15458,410,12003,2146,329,403,52,22,103.0,40.0,45.0,35.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,76221,69505,7789,786,99020,3846,10684,210,24452,104,7277,17157,312,19306,25179,20643,13070,7612,5180,584,94890,35493,15195,17340,7188,21917,2652,386,447,50,11,91.0,57.0,63.0,50.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28053,26027,3354,233,28915,2247,9213,33,2932,19,10393,5932,207,5875,7957,7351,5508,3570,2795,85,35140,13254,5652,5317,3805,7625,977,116,151,26,9,93.0,59.0,64.0,53.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,41843,41187,1968,435,9551,1482,34402,27,193,13,37085,12493,381,8492,10821,11661,9861,7674,5230,295,55258,20305,7412,11259,3062,10649,1513,260,358,77,21,98.0,65.0,70.0,60.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,89182,87391,1859,1543,57027,6148,84397,310,4768,139,22586,30539,2477,15368,21956,21376,20007,17342,13840,926,120592,43812,11856,15037,12769,24776,2474,435,559,86,38,98.0,69.0,74.0,63.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,29151,20826,1581,114,11842,787,776,1164,34920,72,349,8635,96,4904,4730,4029,2140,1989,1379,667,30709,13849,5399,6820,2134,6239,323,19,21,2,0,71.0,52.0,61.0,40.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,57604,54371,1811,836,20682,1103,83361,61,778,43,5325,16026,98,13585,16989,12077,7834,4305,2134,182,71785,25669,14423,15861,2575,13124,3072,482,565,71,12,94.0,43.0,51.0,34.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,18699,16621,804,591,5261,411,5643,27,2577,7,20967,6198,97,3952,5584,4915,2935,2211,1349,46,21090,8910,5252,5393,1047,4865,631,66,87,15,6,89.0,52.0,57.0,45.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,41758,41690,1846,481,13474,521,8779,28,297,11,59449,5373,139,10219,16118,15339,10348,8017,4276,473,56054,20055,7230,13420,1635,12018,1285,167,227,41,19,100.0,54.0,59.0,49.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,46155,37792,1705,801,31265,1970,8466,328,36087,71,5556,14188,202,8836,10317,8428,5633,3987,2693,299,53026,22362,8493,9390,5787,11500,1003,105,132,22,5,82.0,58.0,64.0,50.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,58168,54106,1384,298,15881,2218,29969,577,3311,49,60005,14204,303,14227,17675,15908,11441,8418,6030,521,70415,28305,13469,14876,4678,13982,2874,493,631,108,30,93.0,58.0,63.0,52.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,867004,826618,98946,30342,492966,1198036,1020,112,49,399,14,84804,2078,210607,307884,300845,121924,87377,46947,8007,1072312,405046,215355,326160,7625,261844,36749,7012,8510,1213,285,95.0,53.0,58.0,48.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,375818,362986,47406,9485,359145,371033,5924,384,236,871,9,49866,2523,93591,138294,133643,55924,35491,20221,2267,458796,184849,94939,134382,12007,109693,15859,3079,3822,612,131,97.0,59.0,63.0,54.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,886284,850333,68664,24466,1038985,654816,37635,280,341,1673,98,140205,5316,256855,447993,379469,156156,79766,45341,12951,1048990,444899,241776,324905,25190,277244,25131,3324,4092,623,145,96.0,68.0,72.0,63.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,475273,453227,81617,10542,327322,597392,1688,431,57,724,19,45444,1166,119027,163277,161153,59039,47398,22267,3079,583436,226525,118102,180669,3789,144343,18049,2852,3432,470,110,95.0,52.0,57.0,48.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,351249,334884,19181,7224,655052,13475,8711,297,911,167,6315,28195,1192,79107,138838,136371,80804,55399,28006,2868,434221,169630,82051,122182,5984,93934,20387,3840,4715,710,165,95.0,62.0,68.0,55.0
